transformer_id,risk_score,risk_level,failure
134,0.8996154,High,1
2189,0.89805984,High,1
2495,0.89731723,High,1
2415,0.89650595,High,1
2697,0.89538515,High,1
3513,0.8934257,High,1
2348,0.89319634,High,1
2682,0.8928387,High,1
3100,0.8923743,High,1
3044,0.8906356,High,1
3541,0.89061135,High,1
3209,0.88743865,High,1
2658,0.8871881,High,1
3245,0.88691294,High,1
3034,0.8852062,High,1
1632,0.8837945,High,0
2536,0.88001513,High,1
1221,0.87999475,High,0
433,0.8795252,High,0
3619,0.87743366,High,1
2986,0.8744832,High,1
3405,0.874256,High,1
2766,0.8741721,High,1
1948,0.8714098,High,0
2880,0.8711136,High,1
3577,0.87012976,High,1
2211,0.8695116,High,1
2073,0.86886215,High,1
240,0.8638641,High,0
3346,0.8617216,High,1
3462,0.86102957,High,1
838,0.85989827,High,0
2696,0.85554004,High,1
2780,0.8551744,High,1
2290,0.85396826,High,1
2314,0.8528964,High,1
3226,0.8518498,High,1
2650,0.8509088,High,1
2227,0.84975183,High,1
1839,0.84882843,High,0
3185,0.8459531,High,1
2339,0.8441456,High,1
295,0.8438851,High,0
3355,0.8432064,High,1
2615,0.84105,High,1
1352,0.8374197,High,1
3154,0.8350079,High,1
2740,0.8336838,High,1
2091,0.83330905,High,1
3597,0.82961327,High,1
3716,0.8289662,High,1
229,0.828246,High,1
3097,0.8239523,High,1
3428,0.8214376,High,1
3271,0.81884193,High,1
1442,0.8179812,High,0
2292,0.81667936,High,1
3285,0.81480557,High,1
45,0.81478363,High,0
442,0.8139768,High,0
3722,0.8136125,High,1
2648,0.81210005,High,1
2829,0.8114941,High,1
3472,0.8111176,High,1
2196,0.80796176,High,1
2538,0.8051481,High,1
3091,0.8048821,High,1
2458,0.803728,High,1
2678,0.78783536,High,1
1105,0.78678036,High,0
196,0.7841978,High,1
755,0.7840502,High,0
3014,0.78381497,High,1
3309,0.7829261,High,1
2571,0.78174716,High,1
1074,0.7808048,High,0
2673,0.7807079,High,1
1003,0.77866393,High,0
1468,0.77532566,High,1
3599,0.7747427,High,1
2515,0.7705056,High,1
32,0.7678576,High,0
2399,0.7669496,High,1
217,0.7656957,High,0
3291,0.7622624,High,1
3022,0.76056033,High,1
3072,0.7586028,High,1
3386,0.7569409,High,1
2496,0.7481806,High,1
463,0.7457288,High,0
3714,0.74309945,High,1
1041,0.74193984,High,1
965,0.7399126,High,0
2113,0.73976,High,1
2366,0.73555493,High,1
2023,0.73467064,High,1
2614,0.73394316,High,1
1056,0.7331595,High,0
3201,0.7315116,High,1
283,0.72646564,High,0
700,0.7230301,High,0
2623,0.7218596,High,1
1786,0.7178196,High,0
2907,0.71415776,High,1
3416,0.709816,High,1
1450,0.70854175,High,0
3251,0.7005912,High,1
2751,0.7000694,High,1
2270,0.69759816,High,1
3337,0.6957405,High,1
305,0.6925885,High,0
3454,0.69056094,High,1
1960,0.6899549,High,0
1420,0.6899358,High,0
978,0.68784803,High,0
3284,0.6789741,High,1
3447,0.6778611,High,1
1610,0.6757782,High,0
544,0.6742359,High,0
2714,0.6694216,High,1
810,0.6694161,High,1
2964,0.6659564,High,1
3241,0.66568637,High,1
3145,0.66524225,High,1
2356,0.6614808,High,1
501,0.6609889,High,0
194,0.6601868,High,1
1255,0.65997654,High,0
3409,0.6599622,High,1
3141,0.65155417,High,1
3129,0.6475554,High,1
468,0.6428186,High,0
3601,0.6394527,High,1
2936,0.6357832,High,1
184,0.6333081,High,1
423,0.6331647,High,0
1330,0.6301936,High,0
1873,0.6278784,High,0
2185,0.6239346,High,1
2457,0.62281895,High,1
3711,0.621013,High,1
2890,0.6148234,High,1
2206,0.60291636,High,1
1361,0.6021827,High,1
2319,0.5957427,High,1
12,0.5952143,High,0
2010,0.5942627,High,1
2092,0.59393466,High,1
2470,0.5904504,High,1
2226,0.58089995,High,1
805,0.5791254,High,0
1502,0.57606333,High,0
1877,0.56976336,High,0
817,0.5638589,High,0
1691,0.56215537,High,0
1739,0.56006736,High,0
787,0.55300325,High,1
2707,0.5529015,High,1
2028,0.5512542,High,1
1688,0.5496724,High,1
3372,0.5492908,High,1
2594,0.5482297,High,1
157,0.5474721,High,0
1336,0.53351885,High,0
2978,0.5321508,High,1
2784,0.5284884,High,1
505,0.5249397,High,0
1512,0.5229066,High,0
3470,0.51839364,High,1
2208,0.51295537,High,1
1146,0.5116418,High,0
2114,0.5109073,High,1
2854,0.5080626,High,1
414,0.50199074,High,0
1370,0.5002547,High,0
2202,0.49962133,High,1
3471,0.49522096,High,1
3064,0.49197647,High,1
1770,0.49167022,High,0
376,0.49001867,High,0
3026,0.4898769,High,1
203,0.48909777,High,0
402,0.46387142,High,1
3500,0.4628574,High,1
1263,0.4593109,High,0
1507,0.45677203,High,0
3410,0.44681785,High,1
2727,0.44077677,High,1
1498,0.43269947,High,0
1641,0.42952368,High,0
2416,0.42268202,High,1
1830,0.42144966,High,0
1501,0.41227043,High,0
178,0.41156435,High,0
883,0.40989622,High,1
1116,0.4097026,High,1
2684,0.40777093,High,1
3133,0.4049388,High,1
1138,0.4049388,High,1
3055,0.39837515,High,1
1424,0.39418584,High,0
1878,0.39170608,High,0
1808,0.38869515,High,0
1350,0.38662112,High,0
1027,0.38558775,High,0
2473,0.38414302,High,1
2126,0.3723105,High,1
839,0.37151757,High,0
430,0.35350004,High,0
2295,0.35087126,High,1
842,0.3427662,High,0
3086,0.34148297,High,1
693,0.3333653,High,0
1503,0.32918528,High,0
410,0.3251016,High,0
2269,0.32487607,High,1
1366,0.31667396,High,1
1293,0.30807272,High,0
124,0.3054488,High,0
1999,0.29962635,Medium,0
221,0.29324302,Medium,0
256,0.29286996,Medium,0
1444,0.2883672,Medium,0
1991,0.2844864,Medium,0
573,0.28365222,Medium,0
1237,0.28081453,Medium,0
291,0.28081232,Medium,0
1494,0.2745683,Medium,0
1956,0.27425957,Medium,0
366,0.26929867,Medium,0
175,0.26810563,Medium,0
278,0.25748774,Medium,0
1200,0.25528666,Medium,0
436,0.25166258,Medium,0
1204,0.25164884,Medium,0
676,0.251581,Medium,0
1188,0.25124738,Medium,0
2973,0.24702391,Medium,1
889,0.23226556,Medium,0
2374,0.22479817,Medium,1
727,0.2206934,Medium,0
1419,0.2168793,Medium,0
1864,0.21593586,Medium,0
52,0.21551608,Medium,0
2345,0.21517664,Medium,1
897,0.21044946,Medium,0
1070,0.20947012,Medium,0
1378,0.20728274,Medium,0
1587,0.20057605,Medium,0
1161,0.20051777,Medium,0
1697,0.19960411,Medium,0
1356,0.19489563,Medium,0
744,0.1941039,Medium,0
506,0.19312407,Medium,0
2148,0.18555231,Medium,1
790,0.18015473,Medium,0
331,0.17939639,Medium,0
952,0.17806858,Medium,0
1097,0.17789713,Medium,0
1726,0.17762184,Medium,0
937,0.17747831,Medium,0
1178,0.17730226,Medium,0
76,0.17564088,Medium,0
1510,0.17437926,Medium,0
564,0.16979352,Medium,0
605,0.16645718,Medium,0
1029,0.16144492,Medium,0
1907,0.15238327,Medium,0
2694,0.15059152,Medium,1
1550,0.14847896,Low,0
1988,0.14620455,Low,0
567,0.13791963,Low,0
655,0.13746317,Low,0
1001,0.1342758,Low,0
120,0.13364536,Low,0
811,0.13178726,Low,0
1231,0.1296299,Low,0
1922,0.1269306,Low,0
1650,0.12640479,Low,0
1846,0.12290706,Low,0
93,0.121803686,Low,0
1295,0.11824286,Low,0
670,0.117881715,Low,0
102,0.11531854,Low,0
1611,0.1143943,Low,0
1745,0.11102289,Low,0
869,0.110966116,Low,0
478,0.109907575,Low,0
1749,0.10972026,Low,0
746,0.10966019,Low,0
332,0.10916818,Low,0
173,0.10791033,Low,0
258,0.10541871,Low,0
3322,0.104551084,Low,1
465,0.103513025,Low,0
88,0.10012942,Low,0
80,0.09999624,Low,0
538,0.09556999,Low,0
1898,0.09468189,Low,0
1064,0.09377472,Low,0
1091,0.091129385,Low,0
785,0.08967528,Low,0
1018,0.087939486,Low,0
1582,0.08740402,Low,0
2996,0.08650774,Low,1
51,0.085586,Low,0
1151,0.08457503,Low,0
486,0.08397638,Low,0
864,0.082525216,Low,0
1921,0.08218747,Low,0
1432,0.08218723,Low,0
1338,0.078055546,Low,0
1720,0.07091086,Low,0
174,0.06950992,Low,0
346,0.06729913,Low,0
705,0.066826895,Low,0
1606,0.066512085,Low,0
266,0.06350866,Low,0
1461,0.06345763,Low,0
905,0.06300348,Low,0
61,0.062362578,Low,1
1075,0.060203187,Low,0
63,0.05988616,Low,0
1089,0.058094025,Low,0
1436,0.05711538,Low,0
432,0.05527719,Low,0
1537,0.054845296,Low,0
315,0.05446659,Low,0
1732,0.053589325,Low,0
594,0.053169083,Low,0
299,0.052478172,Low,0
1842,0.052437574,Low,0
1938,0.05228363,Low,0
314,0.049205672,Low,0
1362,0.048873182,Low,0
1894,0.0487082,Low,0
1412,0.047655433,Low,0
1113,0.046106797,Low,0
439,0.04357523,Low,0
1134,0.042026263,Low,0
1741,0.041522685,Low,0
387,0.041444812,Low,0
549,0.04004955,Low,0
948,0.039899237,Low,0
1185,0.03960935,Low,0
650,0.03951089,Low,0
1973,0.038652036,Low,0
1164,0.03845732,Low,0
450,0.037598714,Low,0
408,0.037260793,Low,1
274,0.036429252,Low,0
1057,0.03640347,Low,0
1910,0.03522956,Low,0
14,0.03511337,Low,0
1602,0.03497555,Low,0
1798,0.034744643,Low,0
1106,0.034651212,Low,0
1926,0.032044448,Low,0
1612,0.030559827,Low,0
246,0.029096043,Low,0
479,0.02761747,Low,0
1616,0.027448533,Low,0
2903,0.026281388,Low,1
1727,0.026272867,Low,0
1236,0.026064098,Low,0
393,0.025838766,Low,0
1918,0.024641,Low,0
251,0.02431845,Low,0
1800,0.02423817,Low,0
990,0.023501584,Low,0
1258,0.023398245,Low,0
44,0.022707565,Low,0
218,0.022515915,Low,0
736,0.02153771,Low,0
192,0.020980645,Low,0
1135,0.020817297,Low,0
109,0.020675777,Low,0
879,0.019028928,Low,0
183,0.018652583,Low,0
443,0.01813102,Low,0
26,0.017824955,Low,0
449,0.017793452,Low,0
58,0.017722938,Low,0
1831,0.017217625,Low,0
557,0.01710017,Low,0
238,0.017097685,Low,0
1284,0.01618691,Low,0
712,0.01570631,Low,0
1729,0.015433905,Low,0
1080,0.015179772,Low,1
764,0.014833865,Low,0
1488,0.014703987,Low,0
1742,0.014537124,Low,0
803,0.014154856,Low,0
1551,0.013878199,Low,0
1268,0.013670466,Low,0
1281,0.013518623,Low,0
1983,0.013135073,Low,0
70,0.012713536,Low,0
257,0.012504946,Low,0
1886,0.012171931,Low,0
1071,0.011604792,Low,0
1163,0.011120334,Low,0
30,0.011008336,Low,0
621,0.010518054,Low,0
1572,0.010444825,Low,0
857,0.010342023,Low,0
734,0.010308067,Low,0
254,0.010027559,Low,0
170,0.009742106,Low,0
1132,0.009587314,Low,0
862,0.00906329,Low,0
309,0.008932922,Low,0
461,0.008845583,Low,0
1175,0.008793789,Low,0
1867,0.0084349755,Low,0
1564,0.008419536,Low,0
761,0.008359556,Low,0
1874,0.008211526,Low,0
554,0.008203542,Low,0
1924,0.008117914,Low,0
1078,0.0076744324,Low,0
156,0.0076425537,Low,0
0,0.0072812424,Low,0
411,0.0071507944,Low,0
1815,0.0069141667,Low,0
351,0.0064982674,Low,0
1373,0.0061994144,Low,0
